# TIME                TIMECORR       CADENCENO   SAP_FLUX     SAP_FLUX_ERR   SAP_BKG     SAP_BKG_ERR   PDCSAP_FLUX   PDCSAP_FLUX_ERR   SAP_QUALITY   PSF_CENTR1   PSF_CENTR1_ERR   PSF_CENTR2   PSF_CENTR2_ERR   MOM_CENTR1           MOM_CENTR1_ERR   MOM_CENTR2           MOM_CENTR2_ERR   POS_CORR1      POS_CORR2    
  539.4502657201374   0.0029379001   21069       ""           ""             ""          ""            ""            ""                16392         ""           ""               ""           ""               ""                   ""               ""                   ""               ""             ""           
  540.4106671297341   0.0029598097   21116       11838.335    6.025099       2010.7018   1.061063      12062.822     6.179965          0             ""           ""               ""           ""               1032.2572004869162   0.0010104135     294.8604839601687    8.9719665E-4     0.003137862    0.11088534   
  540.4311010902675   0.0029602703   21117       11841.164    6.025039       2011.2836   1.0610702     12067.061     6.179969          0             ""           ""               ""           ""               1032.258957582498    0.0010087683     294.85841294854265   8.9551666E-4     0.003076783    0.110917315  
  540.451535250344    0.0029607303   21118       11839.528    6.024995       2008.7317   1.0610652     12063.844     6.1797276         0             ""           ""               ""           ""               1032.2601891125412   0.00100923       294.858339209892     8.9588156E-4     0.0031724272   0.11089717   
  540.471969210419    0.0029611904   21119       11848.717    6.024951       2014.0011   1.0610604     12075.099     6.1796684         0             ""           ""               ""           ""               1032.2578939084638   0.0010086522     294.85978251647964   8.955547E-4      0.0030634801   0.11085956   
  540.4924033700227   0.00296165     21120       11837.211    6.0249066      2012.3787   1.0610554     12061.751     6.1799283         8192          ""           ""               ""           ""               1032.258655076586    0.0010106278     294.8594689221249    8.9725934E-4     0.0030817112   0.11075244   
  540.5128374296328   0.0029621096   21121       11845.527    6.024863       2011.3566   1.0610504     12071.864     6.180029          0             ""           ""               ""           ""               1032.2598909013589   0.0010084761     294.85920969936865   8.9528895E-4     0.0031708442   0.110831045  
  540.5332713887765   0.0029625688   21122       11826.816    6.0248184      2015.585    1.0610455     12051.228     6.1796975         0             ""           ""               ""           ""               1032.2615851036771   0.0010105756     294.8590650183701    8.970871E-4      0.0032184415   0.11075306   
  540.5537055476816   0.0029630277   21123       11835.555    6.0247746      2008.629    1.0610406     12061.552     6.1800413         0             ""           ""               ""           ""               1032.2578364496317   0.0010096687     294.85833433917196   8.9633866E-4     0.0032078049   0.110789806  
  540.5741396065932   0.0029634866   21124       11847.068    6.0247297      2009.3073   1.0610356     12072.459     6.179672          0             ""           ""               ""           ""               1032.2560288190375   0.0010071645     294.85950047459596   8.942629E-4      0.0031292303   0.110654645  
  540.5945736650392   0.002963945    21125       11843.511    6.024686       2008.4912   1.0610307     12069.693     6.17997           0             ""           ""               ""           ""               1032.2573358549266   0.0010088186     294.8600358824795    8.957347E-4      0.0031820664   0.11072449   
  540.6150077232451   0.0029644032   21126       11829.443    6.0246415      2011.6301   1.0610257     12055.045     6.179815          0             ""           ""               ""           ""               1032.2585212071376   0.0010104611     294.85978014754176   8.9713524E-4     0.003208424    0.11059535   
  540.6354417812254   0.0029648612   21127       11834.138    6.0245976      2008.5271   1.0610209     12059.481     6.1792617         0             ""           ""               ""           ""               1032.2589207049764   0.0010096674     294.85842514165097   8.9630805E-4     0.0031852145   0.110550545  
  540.6558758389729   0.002965319    21128       11826.874    6.0245533      2009.6178   1.061016      12053.395     6.179797          0             ""           ""               ""           ""               1032.2583630393492   0.0010105022     294.858314119121     8.970565E-4      0.0032043604   0.1105871    
  540.6763098967131   0.0029657767   21129       11831.545    6.0245094      2012.7098   1.061011      12056.779     6.180157          0             ""           ""               ""           ""               1032.2588598782647   0.001009412      294.85833021273163   8.9607376E-4     0.0031211243   0.110400125  
  540.6967439539949   0.002966234    21130       11832.537    6.024465       2009.9473   1.061006      12059.588     6.1792607         0             ""           ""               ""           ""               1032.2578737888985   0.001008786      294.85975839436793   8.956625E-4      0.0031721194   0.11050786   
  540.7171780110439   0.002966691    21131       11823.163    6.024421       2011.9623   1.0610011     12048.711     6.1800632         0             ""           ""               ""           ""               1032.259560389318    0.001011161      294.8582817593558    8.975991E-4      0.0032192904   0.1104067    
  540.7376121678535   0.0029671479   21132       11834.506    6.0243764      2007.8956   1.060996      12061.538     6.17911           0             ""           ""               ""           ""               1032.2584887368726   0.0010093501     294.8592100919534    8.9609844E-4     0.0031541435   0.110476725  
  540.7580461244361   0.0029676044   21133       11826.638    6.024333       2011.1398   1.0609912     12052.612     6.179443          0             ""           ""               ""           ""               1032.2577997572962   0.0010097298     294.857770019555     8.963398E-4      0.0032545067   0.11025079   
  540.7784802807873   0.0029680608   21134       11828.97     6.024288       2009.405    1.0609862     12055.53      6.178713          0             ""           ""               ""           ""               1032.2600791450877   0.0010097929     294.8595801291689    8.9647056E-4     0.0030602044   0.11041806   
  540.7989143368977   0.002968517    21135       11820.148    6.0242443      2011.7635   1.0609812     12046.632     6.1791735         0             ""           ""               ""           ""               1032.2590886803919   0.0010103788     294.85915631848195   8.969863E-4      0.0031940623   0.11031202   
  540.8193482927818   0.0029689728   21136       11814.079    6.0242         2009.21     1.0609763     12039.696     6.1794767         0             ""           ""               ""           ""               1032.2582223311015   0.0010118869     294.8601576857942    8.9843204E-4     0.0032606039   0.11030999   
  540.8397824484273   0.0029694284   21137       11822.901    6.024156       2008.893    1.0609713     12049.782     6.1788535         0             ""           ""               ""           ""               1032.2598616584605   0.0010104413     294.8588886833386    8.9699443E-4     0.0032298593   0.11030147   
  540.8602165036136   0.0029698836   21138       11814.256    6.0241117      2015.323    1.0609664     12039.614     6.1786113         0             ""           ""               ""           ""               1032.2574804413614   0.00101104       294.858059868566     8.9753134E-4     0.0032204154   0.110122964  
  540.8806504587992   0.0029703388   21139       11817.292    6.024068       2010.5831   1.0609614     12044.238     6.178314          0             ""           ""               ""           ""               1032.2580556059404   0.0010110717     294.8592065066389    8.9763367E-4     0.003206691    0.11014602   
  540.9010846137535   0.0029707938   21140       11815.955    6.0240235      2008.2639   1.0609564     12041.673     6.1793747         0             ""           ""               ""           ""               1032.2585976101418   0.0010105188     294.85764913408923   8.969998E-4      0.0031883265   0.110075146  
  540.9215186684669   0.0029712485   21141       11828.801    6.0239797      2008.8466   1.0609514     12056.179     6.178276          0             ""           ""               ""           ""               1032.2605168733796   0.0010100207     294.8578181465856    8.9651096E-4     0.0032207503   0.110161535  
  540.9419526227211   0.0029717027   21142       11815.0205   6.023916       2005.8855   1.0609522     12040.287     6.179257          0             ""           ""               ""           ""               1032.2579092341348   0.0010112316     294.8591568739688    8.977741E-4      0.0031352793   0.10999089   
  540.9623867769697   0.002972157    21143       11810.514    6.023852       2009.0342   1.060953      12037.217     6.178848          0             ""           ""               ""           ""               1032.2594296391312   0.0010114565     294.8591960070198    8.979302E-4      0.0030472374   0.110052295  
  540.9828208309918   0.002972611    21144       11817.495    6.0237885      2009.9691   1.0609539     12043.453     6.178935          0             ""           ""               ""           ""               1032.2583045146023   0.0010107179     294.85742643767645   8.9716655E-4     0.0032092165   0.10998146   
  541.0032547845476   0.0029730645   21145       11820.553    6.0237246      2010.5325   1.0609546     12046.364     6.179525          0             ""           ""               ""           ""               1032.2594038035493   0.0010102439     294.85813942313104   8.967691E-4      0.0031648665   0.10992178   
  541.0236889381049   0.002973518    21146       11811.905    6.0236616      2010.193    1.0609554     12038.386     6.1784043         0             ""           ""               ""           ""               1032.2570430014694   0.001011215      294.8583739275503    8.9772214E-4     0.0032230979   0.10984969   
  541.0441229911885   0.0029739712   21147       11817.811    6.0235977      2012.2252   1.0609562     12042.838     6.180089          0             ""           ""               ""           ""               1032.258865107214    0.001011747      294.85841751730266   8.9814217E-4     0.003184883    0.10979646   
  541.0645571442801   0.0029744243   21148       11805.919    6.0235343      2010.7192   1.0609571     12032.403     6.1790414         0             ""           ""               ""           ""               1032.258013903369    0.0010116023     294.858079214311     8.980126E-4      0.003192211    0.10975815   
  541.0849910968973   0.002974877    21149       11800.59     6.0234704      2014.6477   1.0609579     12025.78      6.178801          0             ""           ""               ""           ""               1032.2567368068426   0.0010121387     294.859394587254     8.986337E-4      0.003154478    0.10973014   
  541.1054251495225   0.0029753295   21150       ""           ""             ""          ""            ""            ""                36            ""           ""               ""           ""               ""                   ""               ""                   ""               ""             ""           
  541.125859201682    0.0029757817   21151       11818.03     6.023343       2013.119    1.0609595     12044.002     6.1784134         0             ""           ""               ""           ""               1032.2568408735224   0.001010702      294.8595778146472    8.973695E-4      0.0030634648   0.10974584   
  541.1462932536087   0.0029762336   21152       11813.833    6.02328        2015.6376   1.0609603     12040.749     6.178804          0             ""           ""               ""           ""               1032.2586598283185   0.0010114764     294.85819371853495   8.978898E-4      0.0031516736   0.10963257   
  541.1667273055282   0.0029766855   21153       11804.0205   6.0232162      2014.1005   1.0609611     12030.357     6.179088          0             ""           ""               ""           ""               1032.2571667053242   0.0010122556     294.85801479201155   8.9861255E-4     0.0031439234   0.10957436   
  541.1871613569892   0.002977137    21154       11803.105    6.023153       2016.6425   1.060962      12028.953     6.178861          0             ""           ""               ""           ""               1032.2592276094815   0.0010124041     294.8574591853114    8.986364E-4      0.0031471567   0.10957391   
  541.2075954082102   0.0029775882   21155       11803.139    6.023089       2015.0154   1.0609628     12029.924     6.1779256         0             ""           ""               ""           ""               1032.2595048134535   0.0010117736     294.8572787684093    8.980536E-4      0.0032052542   0.10956451   
